,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
1360,Inrupt,Inrupt is an open-source platform that uses a set of modular requirements to decentralize the web.,https://inrupt.com/," Information Services, Information Technology, Open Source, Web Development",01 to 10 ," Boston, Massachusetts, United States",2017," Information Technology, Software","Inrupt is an open-source platform that uses a set of modular requirements to decentralize the web. The platform allows consumers and organizations to distinguish their information from the apps using it. It enables clients to develop, handle and safeguard their internet personal online data store (POD) while using the same information to simultaneously search for distinct apps. 

The company is founded in 2017 and is based in Boston, Massachusetts.",software_2017
1361,Inside Petroleum,Inside Petroleum is a software development company for the energy industry.,https://www.insidepetroleum.com/," Energy, Oil and Gas, Software",01 to 10 ," Houston, Texas, United States",01-01-17 0:00," Energy, Natural Resources, Software",,software_2017
1362,Inspector 6,"Inspector 6 uses AI to analyze marketing content, every text block, image, and video.",https://www.inspector6.com/," Artificial Intelligence, Content, Software",01 to 10 ," Atlanta, Georgia, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Media and Entertainment, Science and Engineering, Software",,software_2017
1363,InstaScaler,InstaScaler is an automated advertising platform.,https://instascaler.com/," Advertising, Advertising Platforms, Information Technology, Internet",01 to 10 ," New York, New York, United States",01-01-17 0:00," Advertising, Information Technology, Internet Services, Sales and Marketing",,software_2017
1364,instatask,Connecting you instantly with the closest contractors nearby for your on-demand tasks. Uber-like for outdoor chores,https://www.instatask.com/," Apps, Internet, Mobile Apps",01 to 10 ," San Francisco, California, United States",01-01-17 0:00," Apps, Internet Services, Mobile, Software","Connecting contractors and users for various outdoor chores on demand with 1-click. Launched in Ottawa, Flat Fee snow removal starting at just $35.",software_2017
1365,InsuraGuest,InsuraGuest is a SaaS company that provides a proprietary InsurTech software platform.,https://www.insuraguest.com/," Insurance, SaaS, Software",01 to 10 ," Salt Lake City, Utah, United States",01-01-17 0:00," Financial Services, Software",,software_2017
1366,Integra Ledger,Integra Ledger is a blockchain for the global legal industry that provides secure interoperability among law firms and clients.,http://www.integraledger.com," Blockchain, Consulting, Information Technology, Infrastructure, Internet, Legal, Legal Tech, Professional Services",01 to 10 ," Denver, Colorado, United States",2017," Information Technology, Internet Services, Other, Professional Services","Integra Ledger is a blockchain for the global legal industry that provides secure interoperability among law firms and clients. It encourages lawyers, law firms, and clients to approach information and interact with legal matter, using new applications developed to take specific advantage of this innovative, safeguarded environment or existing applications and databases, in a more confident, dependable, and trusted way.

Integra Ledger was founded on 2017 and is headquartered in Denver, Colorado.",software_2017
1367,Integrity First Technologies,"Integrity First Technologies is an IT firm that deals with cyber-security, software, apps, geospatial intelligence and project planning.",https://www.iftechs.com/," Cyber Security, Geospatial, Software Engineering",01 to 10 ," O'fallon, Illinois, United States",2017," Data and Analytics, Information Technology, Navigation and Mapping, Privacy and Security, Science and Engineering, Software",,software_2017
1368,Integrātz,Integrātz is a consulting and training company that specializes in intelligent automation.,https://www.integratz.com/," Automotive, Consulting, Intelligent Systems",01 to 10 ," Dallas, Texas, United States",2017," Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Transportation",,software_2017
1369,IntelliFlux Controls,IntelliFlux Controls delivers process automation software and expert systems for water treatment facilities and technology.,http://ifctrl.com/," Analytics, Artificial Intelligence, Industrial Automation, Information Technology, Software",01 to 10 ," Irvine, California, United States",2017," Artificial Intelligence, Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software","IntelliFlux Controls delivers process automation software and expert systems for water treatment facilities and technology.
 

Existing and aging water treatment facilities, particularly those involving membrane filtration plants benefit from IntelliFlux controls as the software immediately and visibly improves plant performance, optimizes cleaning cycles, and improves energy efficiency and overall OPEX of the plant.
 

IntelliFlux Controls was created to deliver the next generation of PLC and SCADA operations software to make your systems run better than you ever imagined while simultaneously lowering your operational costs.
 

IntelliFlux combines real-time control of your filtration and water treatment system with a rich array of decision-making information based on historical and predictive analytics utilizing cloud-based data mining and artificial intelligence based computing.",software_2017
