,company_name,description,cleaned_description
1038,Peach Education,Peach Education is a Provider of student development platform,peach education provider student development platform
1039,PayVMS,"PayVMS is a software development and technology company, providing information technology solutions and the financial service to companies.",payvms software development technology company providing information technology solution financial service company
1040,PayPill,"PayPill helps individuals to manage their healthcare needs with the use of disruptive blockchain, AI, and cryptocurrency technologies.",paypill help individual manage healthcare need use disruptive blockchain ai cryptocurrency technology
1041,Payd,"Payd is a simple, affordable way for SMB's to offer financing options to their customers in real-time at the POS - via text message.",payd simple affordable way smbs offer financing option customer realtime po  via text message
1042,PayCafe.com,End-to-End Payment Solution,endtoend payment solution
1043,Paybird,Paybird enables businesses to accept payments via Social Media,paybird enables business accept payment via social medium
1044,Pay2Play,Skill based peer-to-peer wagering application built on the Ethereum blockchain.,skill based peertopeer wagering application built ethereum blockchain
1045,PatientFinder,PatientFinder is a software analytics firm that helps life science companies and healthcare providers.,patientfinder software analytics firm help life science company healthcare provider
1046,Patchd Medical,Wearable technology to predict and prevent sepsis.,wearable technology predict prevent sepsis
1047,PartzRoot,PartzRoot is the Root for All Your OEM Quality Aftermarket Auto Parts,partzroot root oem quality aftermarket auto part
1048,Partake.,"Partake makes it easy to order, purchase, and pay from your smartphone for express pick up or on-demand delivery.",partake make easy order purchase pay smartphone express pick ondemand delivery
